latitude,longitude,altitude
39.79741074,-86.23685947,1.558821917
39.79744294,-86.23691744,1.549552441
39.79748004,-86.23697888,1.541085958
39.79751865,-86.23703591,1.535676003
39.79755888,-86.23708133,1.531294584
39.79760527,-86.23712267,1.530198336
39.79765411,-86.23716314,1.530401945
39.79770867,-86.23718535,1.531335473
39.79776321,-86.23719833,1.53300786
39.79781969,-86.23720154,1.533865213
39.79787785,-86.23720113,1.534422636
39.79793105,-86.23719576,1.534901261
39.79798538,-86.23717921,1.535991669
39.79803579,-86.23714372,1.536024928
39.79807526,-86.23709962,1.535879612
39.79811545,-86.23705031,1.537055731
39.79815288,-86.23699757,1.537285447
39.79818541,-86.23694474,1.536697149
39.79821952,-86.23688817,1.536981106
39.79825458,-86.23682974,1.537191391
39.79828785,-86.2367743,1.536918163
39.79832121,-86.23671869,1.537116766
39.79835562,-86.23666132,1.537376165
39.79839108,-86.23660217,1.537761211
39.79842473,-86.23654606,1.53838408
39.79845846,-86.23648979,1.53829217
39.79849324,-86.23643174,1.538749695
39.79852812,-86.23637355,1.538469195
39.79856405,-86.23631356,1.539415836
39.79860008,-86.23625342,1.539668322
39.79863521,-86.23619475,1.539696217
39.79867044,-86.23613592,1.539957523
39.7987062,-86.2360774,1.540323257
39.79874214,-86.23601884,1.540495872
39.79877733,-86.23596193,1.54168129
39.79881554,-86.2359026,1.543154478
39.79885331,-86.23584534,1.546364546
39.79889028,-86.23578974,1.550958276
39.79893223,-86.23573435,1.559446692
39.79897604,-86.23568162,1.569060087
39.79901772,-86.23563184,1.576328874
39.79906344,-86.2355815,1.580577016
39.79911627,-86.23554618,1.581198931
39.79917153,-86.23551865,1.584398389
39.7992262,-86.23550565,1.584807873
39.79928447,-86.23550028,1.582768798
39.79934278,-86.23549504,1.583457947
39.79939809,-86.23549033,1.589833498
39.79945671,-86.23548546,1.592300177
39.79951394,-86.23548183,1.59253931
39.79956976,-86.23547976,1.59010911
39.79962889,-86.23548015,1.587197781
39.79968642,-86.23548238,1.583330512
39.7997441,-86.23548419,1.579410434
39.79980034,-86.2354857,1.57608676
39.79985994,-86.23548711,1.572606087
39.79991969,-86.23548808,1.569106817
39.79997635,-86.23548901,1.56612134
39.80003316,-86.23548994,1.562706947
39.80009336,-86.23549092,1.559033155
39.80015043,-86.23549184,1.557096124
39.80020927,-86.23549311,1.559607744
39.8002682,-86.23549616,1.562548161
39.8003255,-86.23550139,1.563186884
39.80038381,-86.23552156,1.555070162
39.80043808,-86.23554403,1.545053005
39.80049364,-86.23557388,1.540792584
39.80054017,-86.23561172,1.536875725
39.80058684,-86.23565614,1.533864498
39.8006315,-86.23570384,1.532296419
39.80066923,-86.23575733,1.533204436
39.80070217,-86.23581797,1.532302856
39.80072865,-86.23588319,1.531612754
39.80074726,-86.23594591,1.531535864
39.80075981,-86.23601704,1.532280922
39.80075882,-86.23608928,1.532855034
39.80074857,-86.23615962,1.533256769
39.80073536,-86.23622488,1.532688856
39.80071638,-86.23628967,1.532614231
39.80069573,-86.23635579,1.532595992
39.80067441,-86.23641513,1.53288579
39.80065191,-86.23647594,1.532550454
39.80062878,-86.23653881,1.532470703
39.80060624,-86.23660008,1.532369614
39.80058364,-86.23666156,1.532473326
39.8005603,-86.23672505,1.53234756
39.80053706,-86.23678659,1.532165766
39.80051251,-86.23684748,1.532346845
39.80048591,-86.2369094,1.532438278
39.80045721,-86.23696986,1.531453371
39.80042519,-86.23701914,1.531842709
39.80039142,-86.23707184,1.53115809
39.80035584,-86.23712547,1.530030608
39.80032151,-86.23717251,1.52881813
39.80028357,-86.2372237,1.528241873
39.80024433,-86.23727033,1.526353359
39.80020301,-86.23731375,1.524429679
39.80015808,-86.23735417,1.523470163
39.80011003,-86.23738729,1.522262812
39.80006116,-86.23741234,1.52028966
39.80001171,-86.23743489,1.517359853
39.79996209,-86.23745751,1.51394248
39.79991065,-86.23748009,1.510316014
39.79986307,-86.23749912,1.507056832
39.79981174,-86.23751597,1.502050161
39.79976149,-86.23752991,1.496879697
39.79970934,-86.23754283,1.491176963
39.79965516,-86.23755286,1.486005306
39.79960073,-86.23756173,1.4809165
39.79954915,-86.23756875,1.475961328
39.79949424,-86.23757558,1.471690655
39.79943918,-86.23758248,1.468122721
39.79938395,-86.2375894,1.465721488
39.79933015,-86.23759615,1.464336157
39.79927621,-86.23760292,1.462391615
39.79922057,-86.23761043,1.461676359
39.79916819,-86.23761939,1.4629879
39.79911345,-86.23763443,1.466156244
39.79906005,-86.23765522,1.469405293
39.79901552,-86.23769389,1.469108343
39.79896912,-86.23773656,1.470602989
